Czech,English
psát,write
pohled,view
zde,here
podobný,similar
plný,full
samozřejmě,Of course
určitý,certain
tenhleten,one
jasný,clear
během,during
vedle,next to
zájem,interest
napsat,write
přijet,arrive
dneska,today
vztah,relationship
existovat,exist
furt,always
zjistit,find out
dveře,door
kromě,except
kam,where
jistý,sure
počkat,wait
auto,car
jasně,clearly
cítit,feel
informace,information
nejen,not only
zeptat,ask
onen,that
noha,leg
vždy,always
prosit,sift
stav,state
třetí,third
základ,basis
podmínka,condition
rodina,family
silný,strong
věřit,trust
služba,service
začínat,start
otevřít,open
normálně,normally
zákon,law
těžký,heavy
zejména,especially
tehdy,then
jednotlivý,individual
vyjít,go out
považovat,consider
umět,be able to
váš,your
opět,again
tolik,so many
počet,number
současný,current
pomoct,help
bílý,White
líbit,like
tvář,face
aha,I see
právo,right
pár,few
začátek,beginning
hledat,search
skončit,end
dvacet,twenty
držet,hold
pocit,feeling
skutečnost,reality
evropský,European
typ,type
černý,black
zda,whether
domů,home
směr,direction
teprve,only
hlas,voice
raději,rather
aspoň,at least
změnit,alter
strašně,horribly
zatímco,while
druh,species
tvrdit,claim
krásný,beautiful
vláda,government
minuta,minute
naopak,on the contrary
zřejmě,apparently
zrovna,just
podařit,succeed
americký,American
cíl,target
jmenovat,appoint
jezdit,ride
tělo,body
představovat,represent
smysl,meaning
koukat,to watch
přinést,bring
používat,use
pokračovat,continue
rozdíl,difference
trvat,last
program,program
většinou,mostly
ulice,street
ráno,morning
státní,national
připravit,prepare
člen,member
prostor,space
forma,form
činnost,activity
skoro,almost
hodnota,value
osm,eight
přesto,yet
ležet,lie
smrt,death
paní,Gentlemen
bývat,be
zvláštní,strange
polovina,half
republika,republic
názor,opinion
dívat,look
prostředí,environment
lidský,human
smět,may
jednat,act
zároveň,at the same time
sedm,seven
ptát,ask
schopný,capable
postavit,build
léto,summer
hrozně,terribly
zpráva,message
najednou,suddenly
odejít,leave
osoba,person
mimo,outside
století,century
otec,dad
nízký,low
válka,war
jistě,sure
kniha,book
působit,act
minulý,last
okno,window
dosáhnout,achieve
dosud,yet
vytvořit,create
jenže,but
samý,all
společný,common
období,period
hra,game
díky,Thanks
neboť,for
procento,percent
večer,evening
tvůj,your
číst,read
zapomenout,forget
poznat,know
akorát,just
bát,be afraid
číslo,number
stůl,table
poprvé,first
dodat,to add
